iter	RMSE
0	3962.375603
1	3888.208462
2	3815.79723
3	3744.786884
4	3675.375655
5	3607.069129
6	3540.122192
7	3474.670586
8	3411.06227
9	3348.578535
10	3286.916622
11	3227.129566
12	3168.39674
13	3110.742448
14	3053.504611
15	2997.555728
16	2943.710623
17	2890.061405
18	2837.793492
19	2786.907304
20	2736.66681
21	2688.744935
22	2640.683386
23	2593.850615
24	2548.018325
25	2502.673205
26	2458.413648
27	2414.946325
28	2372.280414
29	2330.719221
30	2290.081292
31	2250.255297
32	2211.176007
33	2172.489107
34	2135.606981
35	2099.343336
36	2063.309223
37	2028.289051
38	1993.854419
39	1960.435774
40	1927.677191
41	1896.186365
42	1865.035079
43	1834.003178
44	1803.485781
45	1774.208173
46	1745.650633
47	1717.3783
48	1690.572593
49	1663.091023
50	1636.451406
51	1610.808813
52	1585.501182
53	1561.193745
54	1537.016615
55	1513.485701
56	1490.259624
57	1467.365451
58	1444.86021
59	1423.287239
60	1402.212341
61	1381.544142
62	1361.213545
63	1341.745304
64	1322.641258
65	1303.614713
66	1285.360629
67	1267.34034
68	1249.709368
69	1232.858019
70	1216.147887
71	1200.137231
72	1184.533935
73	1169.038082
74	1154.006603
75	1139.382787
76	1124.594518
77	1110.425909
78	1096.853311
79	1083.392708
80	1069.825622
81	1056.539272
82	1044.211961
83	1031.978839
84	1020.154073
85	1008.489259
86	997.2958037
87	986.5377707
88	975.7194908
89	965.366467
90	954.8831861
91	944.9226498
92	935.5196851
93	926.1041401
94	916.5862413
95	907.5344503
96	898.5214133
97	890.0309388
98	881.3799264
99	873.3928776
100	865.5803905
101	857.940369
102	850.7337044
103	843.1947972
104	835.821356
105	828.9225735
106	822.276285
107	815.8087584
108	809.2586065
109	803.1108701
110	796.9419336
111	791.0237779
112	785.4681305
113	779.9447431
114	774.6194785
115	769.3914057
116	764.6049384
117	759.6704277
118	755.1173119
119	750.5758849
120	746.0252802
121	741.6741979
122	737.2836335
123	733.1042103
124	729.1219083
125	725.1941173
126	721.393035
127	717.8282363
128	714.1101753
129	710.4572288
130	707.0282231
131	703.7560498
132	700.4697233
133	697.2917953
134	694.2006841
135	691.2037899
136	688.3478496
