iter	Passed	Remaining
0	18	9313
1	37	9317
2	62	10303
3	82	10238
4	101	10001
5	116	9597
6	131	9287
7	148	9117
8	165	9055
9	182	8921
10	199	8855
11	214	8742
12	230	8619
13	245	8536
14	262	8472
15	277	8408
16	293	8352
17	309	8286
18	325	8235
19	344	8256
20	359	8209
21	375	8161
22	391	8118
23	407	8080
24	423	8047
25	439	8014
26	458	8037
27	479	8090
28	499	8105
29	520	8147
30	538	8150
31	557	8152
32	575	8139
33	593	8128
34	611	8125
35	630	8124
36	648	8119
37	667	8115
38	685	8105
39	702	8084
40	724	8106
41	748	8159
42	767	8160
43	786	8148
44	804	8130
45	821	8112
46	839	8094
47	857	8077
48	875	8058
49	896	8064
50	914	8053
51	934	8050
52	952	8032
53	971	8019
54	989	8004
55	1007	7990
56	1027	7986
57	1046	7972
58	1065	7962
59	1083	7943
60	1101	7929
61	1121	7925
62	1143	7929
63	1163	7928
64	1180	7903
65	1198	7883
66	1216	7862
67	1233	7838
68	1252	7825
69	1270	7806
70	1285	7770
71	1301	7737
72	1317	7704
73	1332	7668
74	1348	7641
75	1363	7609
76	1378	7572
77	1394	7544
78	1410	7516
79	1425	7485
80	1440	7451
81	1455	7417
82	1471	7395
83	1488	7369
84	1504	7344
85	1519	7316
86	1536	7295
87	1555	7282
88	1571	7255
89	1586	7225
90	1601	7197
91	1616	7168
92	1631	7141
93	1647	7116
94	1663	7089
95	1678	7062
96	1693	7035
97	1708	7009
98	1723	6982
99	1739	6957
100	1754	6929
101	1772	6915
102	1788	6893
103	1804	6870
104	1820	6849
105	1835	6822
106	1850	6797
107	1866	6774
108	1880	6746
109	1896	6724
110	1912	6703
111	1928	6680
112	1943	6656
113	1959	6635
114	1975	6613
115	1990	6590
116	2005	6566
117	2021	6545
118	2038	6525
119	2053	6501
120	2068	6477
121	2084	6458
122	2099	6434
123	2114	6410
124	2129	6388
125	2143	6363
126	2161	6349
127	2177	6327
128	2194	6312
129	2211	6293
130	2228	6276
131	2243	6253
132	2257	6228
133	2271	6203
134	2289	6189
135	2303	6165
136	2318	6144
137	2332	6119
138	2349	6101
139	2363	6077
140	2378	6056
141	2393	6033
142	2408	6013
143	2422	5990
144	2437	5968
145	2453	5949
146	2470	5932
147	2485	5910
148	2500	5889
149	2515	5869
150	2531	5850
151	2545	5828
152	2563	5813
153	2578	5792
154	2593	5772
155	2607	5749
156	2621	5728
157	2639	5712
158	2654	5693
159	2669	5673
160	2684	5652
161	2700	5633
162	2715	5614
163	2734	5602
164	2750	5585
165	2765	5563
166	2779	5543
167	2794	5523
168	2812	5508
169	2826	5486
170	2840	5464
171	2854	5443
172	2870	5425
173	2884	5404
174	2899	5384
175	2913	5362
176	2928	5344
177	2945	5327
178	2961	5310
179	2976	5291
180	2992	5273
181	3007	5254
182	3022	5235
183	3038	5217
184	3053	5198
185	3067	5178
186	3082	5160
187	3096	5139
188	3111	5120
189	3128	5104
190	3145	5088
191	3158	5067
192	3174	5050
193	3190	5032
